sampling_point_id,begin_position,end_position,value,validation_flag,verification_flag
SPO_NO0057A_9_42,2022-01-11T23:00:00+01:00,2022-01-12T00:00:00+01:00,36.2468425482,1,1
SPO_NO0057A_9_42,2022-01-13T23:00:00+01:00,2022-01-14T00:00:00+01:00,8.6808458182,1,1
SPO_NO0057A_9_42,2022-01-12T12:00:00+01:00,2022-01-12T13:00:00+01:00,386.2951828824,-99,1
SPO_NO0057A_9_42,2022-01-12T06:00:00+01:00,2022-01-12T07:00:00+01:00,73.2064514506,1,1
SPO_NO0057A_9_42,2022-01-14T16:00:00+01:00,2022-01-14T17:00:00+01:00,49.9122822715,1,1
SPO_NO0057A_9_42,2022-01-10T18:00:00+01:00,2022-01-10T19:00:00+01:00,123.1272900608,1,1
SPO_NO0057A_9_42,2022-01-08T21:00:00+01:00,2022-01-08T22:00:00+01:00,38.7295082382,1,1
SPO_NO0057A_9_42,2022-01-13T07:00:00+01:00,2022-01-13T08:00:00+01:00,414.4308587573,1,1
SPO_NO0057A_9_42,2022-01-13T20:00:00+01:00,2022-01-13T21:00:00+01:00,21.1986869954,1,1
SPO_NO0057A_9_42,2022-01-14T07:00:00+01:00,2022-01-14T08:00:00+01:00,35.0198300936,1,1
SPO_NO0057A_9_42,2022-01-13T21:00:00+01:00,2022-01-13T22:00:00+01:00,11.7009495006,1,1
SPO_NO0057A_9_42,2022-01-06T19:00:00+01:00,2022-01-06T20:00:00+01:00,341.1631774945,1,1
SPO_NO0057A_9_42,2022-01-06T12:00:00+01:00,2022-01-06T13:00:00+01:00,515.4918953123,1,1
SPO_NO0057A_9_42,2022-01-13T17:00:00+01:00,2022-01-13T18:00:00+01:00,47.5357015566,1,1
SPO_NO0057A_9_42,2022-01-13T18:00:00+01:00,2022-01-13T19:00:00+01:00,48.3993976846,1,1
SPO_NO0057A_9_42,2022-01-14T01:00:00+01:00,2022-01-14T02:00:00+01:00,14.9427682294,1,1
SPO_NO0057A_9_42,2022-01-14T02:00:00+01:00,2022-01-14T03:00:00+01:00,12.7852005309,1,1
SPO_NO0057A_9_42,2022-01-11T03:00:00+01:00,2022-01-11T04:00:00+01:00,16.3372178928,1,1
SPO_NO0057A_9_42,2022-01-14T15:00:00+01:00,2022-01-14T16:00:00+01:00,47.3228350216,1,1
SPO_NO0057A_9_42,2022-01-14T11:00:00+01:00,2022-01-14T12:00:00+01:00,42.5746415588,1,1
SPO_NO0057A_9_42,2022-01-09T16:00:00+01:00,2022-01-09T17:00:00+01:00,27.2072762887,1,1
SPO_NO0057A_9_42,2022-01-14T20:00:00+01:00,2022-01-14T21:00:00+01:00,159.947574871,1,1
SPO_NO0057A_9_42,2022-01-14T18:00:00+01:00,2022-01-14T19:00:00+01:00,102.343410732,1,1
SPO_NO0057A_9_42,2022-01-15T05:00:00+01:00,2022-01-15T06:00:00+01:00,79.896646439,1,1
SPO_NO0057A_9_42,2022-01-17T12:00:00+01:00,2022-01-17T13:00:00+01:00,53.5795200798,1,1
SPO_NO0057A_9_42,2022-01-17T13:00:00+01:00,2022-01-17T14:00:00+01:00,57.6724028692,1,1
SPO_NO0057A_9_42,2022-01-07T03:00:00+01:00,2022-01-07T04:00:00+01:00,26.784774329,1,1
SPO_NO0057A_9_42,2022-01-08T09:00:00+01:00,2022-01-08T10:00:00+01:00,32.4604582772,1,1
SPO_NO0057A_9_42,2022-01-17T11:00:00+01:00,2022-01-17T12:00:00+01:00,56.8109246625,1,1
SPO_NO0057A_9_42,2022-01-14T14:00:00+01:00,2022-01-14T15:00:00+01:00,56.169934024,1,1
SPO_NO0057A_9_42,2022-01-17T01:00:00+01:00,2022-01-17T02:00:00+01:00,8.9756919708,1,1
